longitude,latitude,year,month,day,hour,PV_power,WS10m
-4.48333,48.400002,2022,01,07,18,0.0,10.21
-4.48333,48.400002,2022,01,07,19,0.0,9.24
-4.48333,48.400002,2022,01,07,20,0.0,9.38
-4.48333,48.400002,2022,01,07,21,0.0,9.17
-4.48333,48.400002,2022,01,07,22,0.0,8.41
-4.48333,48.400002,2022,01,07,23,0.0,7.86
-4.48333,48.400002,2022,01,08,00,0.0,7.72
-4.48333,48.400002,2022,01,08,01,0.0,7.24
-4.48333,48.400002,2022,01,08,02,0.0,6.76
-4.48333,48.400002,2022,01,08,03,0.0,7.1
-4.48333,48.400002,2022,01,08,04,0.0,7.66
-4.48333,48.400002,2022,01,08,05,0.0,8.21
-4.48333,48.400002,2022,01,08,06,0.0,8.69
-4.48333,48.400002,2022,01,08,07,0.0,11.03
-4.48333,48.400002,2022,01,08,08,0.0,11.03
-4.48333,48.400002,2022,01,08,09,12.18,11.03
-4.48333,48.400002,2022,01,08,10,35.76,11.38
-4.48333,48.400002,2022,01,08,11,91.0,11.45
-4.48333,48.400002,2022,01,08,12,76.28,11.66
-4.48333,48.400002,2022,01,08,13,30.13,13.17
-4.48333,48.400002,2022,01,08,14,157.32,14.83
-4.48333,48.400002,2022,01,08,15,32.26,11.72
-4.48333,48.400002,2022,01,08,16,3.47,12.76
-4.48333,48.400002,2022,01,08,17,0.0,13.24
-4.48333,48.400002,2022,01,08,18,0.0,12.9
-4.48333,48.400002,2022,01,08,19,0.0,12.55
-4.48333,48.400002,2022,01,08,20,0.0,11.24
-4.48333,48.400002,2022,01,08,21,0.0,10.69
-4.48333,48.400002,2022,01,08,22,0.0,10.69
-4.48333,48.400002,2022,01,08,23,0.0,10.28
-4.48333,48.400002,2022,01,09,00,0.0,9.86
-4.48333,48.400002,2022,01,09,01,0.0,9.52
-4.48333,48.400002,2022,01,09,02,0.0,9.38
-4.48333,48.400002,2022,01,09,03,0.0,9.24
-4.48333,48.400002,2022,01,09,04,0.0,8.83
-4.48333,48.400002,2022,01,09,05,0.0,8.0
-4.48333,48.400002,2022,01,09,06,0.0,7.31
-4.48333,48.400002,2022,01,09,07,0.0,7.1
-4.48333,48.400002,2022,01,09,08,0.0,7.17
-4.48333,48.400002,2022,01,09,09,45.74,6.97
-4.48333,48.400002,2022,01,09,10,84.18,7.03
-4.48333,48.400002,2022,01,09,11,190.08,6.62
-4.48333,48.400002,2022,01,09,12,43.42,6.41
-4.48333,48.400002,2022,01,09,13,17.15,6.21
-4.48333,48.400002,2022,01,09,14,9.85,5.38
-4.48333,48.400002,2022,01,09,15,29.43,4.48
-4.48333,48.400002,2022,01,09,16,0.0,3.59
-4.48333,48.400002,2022,01,09,17,0.0,2.69
-4.48333,48.400002,2022,01,09,18,0.0,1.93
-4.48333,48.400002,2022,01,09,19,0.0,3.31
-4.48333,48.400002,2022,01,09,20,0.0,6.28
-4.48333,48.400002,2022,01,09,21,0.0,9.03
-4.48333,48.400002,2022,01,09,22,0.0,9.31
-4.48333,48.400002,2022,01,09,23,0.0,8.55
-4.48333,48.400002,2022,01,10,00,0.0,8.07
-4.48333,48.400002,2022,01,10,01,0.0,7.72
-4.48333,48.400002,2022,01,10,02,0.0,7.38
-4.48333,48.400002,2022,01,10,03,0.0,7.03
-4.48333,48.400002,2022,01,10,04,0.0,6.69
-4.48333,48.400002,2022,01,10,05,0.0,6.21
-4.48333,48.400002,2022,01,10,06,0.0,5.66
-4.48333,48.400002,2022,01,10,07,0.0,6.07
-4.48333,48.400002,2022,01,10,08,0.0,5.45
-4.48333,48.400002,2022,01,10,09,38.2,4.62
-4.48333,48.400002,2022,01,10,10,113.04,3.86
-4.48333,48.400002,2022,01,10,11,120.01,3.45
-4.48333,48.400002,2022,01,10,12,96.14,4.21
-4.48333,48.400002,2022,01,10,13,98.96,4.07
-4.48333,48.400002,2022,01,10,14,78.96,3.93
-4.48333,48.400002,2022,01,10,15,45.75,3.03
-4.48333,48.400002,2022,01,10,16,9.1,2.76
-4.48333,48.400002,2022,01,10,17,0.0,2.48
-4.48333,48.400002,2022,01,10,18,0.0,2.48
-4.48333,48.400002,2022,01,10,19,0.0,2.69
-4.48333,48.400002,2022,01,10,20,0.0,2.28
-4.48333,48.400002,2022,01,10,21,0.0,2.21
-4.48333,48.400002,2022,01,10,22,0.0,2.21
